setting,threshold,accuracy,precision,recall,f1,auc,tp,tn,fp,fn
default,0.5,0.9130434782608695,0.9134615384615384,0.9313725490196079,0.9223300970873787,0.9316116690578671,95,73,9,7
screening_90,0.5281924254100893,0.9021739130434783,0.92,0.9019607843137255,0.9108910891089109,0.9316116690578671,92,74,8,10
screening_95,0.25810627865479757,0.8586956521739131,0.8220338983050848,0.9509803921568627,0.8818181818181818,0.9316116690578671,97,61,21,5
